epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
109,11454.5,0.81452,0.41318,0.00585,0.96879,0.94338,0.97565,0.81734,0.74965,0.46507,0.00732,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,11574.7,0.80792,0.41771,0.00579,0.95856,0.94897,0.97566,0.81644,0.75022,0.46606,0.00732,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,11678.9,0.81077,0.41694,0.00576,0.96174,0.94672,0.97554,0.81644,0.74784,0.47021,0.0073,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,11783.6,0.81353,0.41755,0.00575,0.96013,0.9487,0.97568,0.81706,0.7474,0.47016,0.0073,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,11888,0.81328,0.41346,0.00583,0.96301,0.9475,0.97606,0.81789,0.74857,0.46691,0.00732,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,11992.4,0.81033,0.41099,0.00572,0.96337,0.94752,0.97626,0.81775,0.74644,0.46915,0.0073,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,12096.9,0.80464,0.41691,0.00575,0.96515,0.94747,0.97629,0.81802,0.74485,0.46697,0.00729,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,12201.3,0.80673,0.41961,0.0058,0.96384,0.94822,0.97628,0.81822,0.74307,0.46975,0.00727,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,12305.6,0.8035,0.41371,0.00578,0.96331,0.94581,0.97592,0.81816,0.74351,0.46905,0.00726,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,12410.1,0.80135,0.4054,0.00568,0.9528,0.95443,0.9759,0.81794,0.74263,0.47076,0.00725,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,12514.5,0.79767,0.40561,0.00573,0.96304,0.94822,0.97637,0.81921,0.74118,0.47104,0.00725,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,12618.8,0.79931,0.40421,0.00566,0.96682,0.95009,0.9768,0.81949,0.7414,0.46847,0.00725,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,12723.1,0.80318,0.40343,0.00572,0.96528,0.9494,0.97687,0.81939,0.74053,0.46847,0.00724,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,12827.3,0.80572,0.39902,0.00572,0.96134,0.94822,0.97639,0.81906,0.73925,0.46836,0.00722,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,12931.6,0.79567,0.3983,0.00566,0.9623,0.9483,0.97621,0.81894,0.73751,0.46938,0.0072,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,13036,0.79756,0.39818,0.00566,0.96483,0.94714,0.97624,0.81947,0.73788,0.46753,0.00721,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,13140.3,0.79536,0.39614,0.00573,0.96667,0.94689,0.97626,0.81938,0.73685,0.46754,0.0072,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
