epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,18425.7,0.84723,0.4426,0.00608,0.96411,0.94859,0.97413,0.81022,0.7679,0.44668,0.00749,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,18637.6,0.84613,0.4463,0.00608,0.96156,0.94794,0.97456,0.80885,0.76347,0.44946,0.00744,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,18848.6,0.85021,0.44308,0.00611,0.96155,0.94597,0.97389,0.80835,0.76342,0.45401,0.00744,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,19060.1,0.83831,0.43989,0.006,0.96189,0.94704,0.9737,0.80774,0.76623,0.45045,0.00748,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,19271.5,0.84099,0.43782,0.00605,0.96339,0.94597,0.97364,0.80798,0.76393,0.45178,0.00745,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,19482.8,0.83802,0.43465,0.006,0.96661,0.94513,0.97361,0.80695,0.76325,0.4462,0.00742,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,19695.2,0.84633,0.44012,0.00604,0.96565,0.94709,0.97415,0.80804,0.76445,0.44344,0.00744,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,19906.4,0.82857,0.42282,0.00588,0.96557,0.94784,0.9742,0.80875,0.76574,0.43863,0.00748,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,20117.4,0.8369,0.43113,0.00601,0.96519,0.94409,0.97391,0.8073,0.76596,0.43958,0.00747,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,20328.6,0.83188,0.43494,0.00594,0.96362,0.94709,0.97394,0.80783,0.76384,0.44212,0.00746,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,20540.5,0.83325,0.42811,0.00597,0.9677,0.94427,0.97399,0.80925,0.7637,0.44087,0.00744,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,20752,0.83542,0.43122,0.00592,0.96977,0.95101,0.97478,0.80863,0.76161,0.43691,0.00741,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,20963.3,0.83331,0.42911,0.00598,0.9713,0.94934,0.97487,0.80887,0.76172,0.43615,0.00741,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,21176,0.82565,0.42237,0.00595,0.97036,0.94594,0.97479,0.80867,0.76271,0.43091,0.00741,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,21387.8,0.81956,0.41632,0.00583,0.9688,0.94859,0.97466,0.8102,0.7611,0.43739,0.00739,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,21599.2,0.82601,0.42006,0.00596,0.96961,0.94672,0.97478,0.81067,0.76192,0.43765,0.00739,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,21811.8,0.82913,0.42133,0.00592,0.96765,0.95009,0.97502,0.81042,0.76114,0.4372,0.00738,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,22023.7,0.82579,0.42059,0.00582,0.97018,0.94859,0.9748,0.81119,0.76018,0.44153,0.00736,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,22235.9,0.8165,0.41683,0.00583,0.96723,0.95244,0.97503,0.80985,0.75973,0.44196,0.00735,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
