epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
101,21112,0.83189,0.43951,0.00607,0.96281,0.9424,0.96972,0.80646,0.73985,0.40619,0.00734,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,21320,0.83255,0.44218,0.00608,0.96216,0.94448,0.96937,0.80561,0.7382,0.41201,0.00733,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,21528,0.82818,0.43564,0.00606,0.96315,0.94146,0.9691,0.80531,0.73862,0.40695,0.00734,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,21736.1,0.83832,0.44137,0.00607,0.96108,0.94259,0.96951,0.80581,0.73797,0.40665,0.00733,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,21944,0.83222,0.43256,0.00602,0.9627,0.94071,0.96937,0.80402,0.73917,0.40685,0.00733,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,22152,0.82382,0.42853,0.00597,0.96087,0.93987,0.96914,0.80391,0.73827,0.41009,0.00732,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,22360.2,0.82461,0.4268,0.00597,0.96224,0.93718,0.9691,0.80422,0.73917,0.40847,0.00732,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,22568.4,0.81733,0.43395,0.00589,0.95539,0.94837,0.96911,0.80503,0.7412,0.40523,0.00734,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,22776.7,0.82826,0.43652,0.00595,0.95721,0.94634,0.96901,0.80502,0.74083,0.40802,0.00734,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,22984.9,0.82624,0.43768,0.00603,0.96311,0.94035,0.96914,0.80558,0.74164,0.40645,0.00737,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,23193.1,0.82839,0.43194,0.006,0.95811,0.94634,0.96911,0.80618,0.73976,0.4097,0.00735,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,23401.3,0.81966,0.42365,0.00592,0.95785,0.94634,0.96913,0.80664,0.73966,0.41006,0.00734,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,23609.5,0.82891,0.43764,0.006,0.95734,0.94709,0.96911,0.80584,0.74153,0.40474,0.00736,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,23817.6,0.82299,0.42648,0.0059,0.95899,0.94597,0.96882,0.80519,0.74012,0.40788,0.00735,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,24025.8,0.81537,0.43002,0.00587,0.95881,0.94339,0.96865,0.80547,0.74105,0.40672,0.00735,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,24233.7,0.81439,0.42844,0.00593,0.96052,0.94026,0.96848,0.80474,0.74057,0.40745,0.00734,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,24441.7,0.81612,0.42311,0.0059,0.96558,0.93676,0.96869,0.80633,0.73916,0.40463,0.00731,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,24649.7,0.81032,0.41989,0.00583,0.96102,0.94373,0.96911,0.80758,0.7388,0.40339,0.00731,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,24857.7,0.80551,0.41357,0.00585,0.96818,0.93696,0.96915,0.80687,0.7386,0.40486,0.0073,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,25065.5,0.80253,0.41341,0.00575,0.96859,0.93884,0.96916,0.80692,0.73886,0.40334,0.0073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,25273.9,0.80983,0.41528,0.00588,0.96826,0.93866,0.96919,0.8066,0.73876,0.40386,0.00731,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,25482,0.7972,0.40871,0.00579,0.95954,0.94324,0.96918,0.80586,0.73795,0.40549,0.0073,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,25689.9,0.79749,0.40621,0.00578,0.96276,0.93809,0.96911,0.80537,0.73847,0.40735,0.00731,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,25897.9,0.8073,0.41554,0.00583,0.9661,0.941,0.96941,0.8057,0.73937,0.40504,0.00731,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,26106,0.79921,0.4103,0.0058,0.96623,0.94184,0.96949,0.80599,0.73783,0.40539,0.0073,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,26314.3,0.79665,0.41412,0.00571,0.96622,0.94146,0.96945,0.8066,0.7378,0.4048,0.00731,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
